species,genus,specific_location,region,Lat,Lon,MAT,season,rate_temperature_change,caste,nest_site,microclim_habitat,substrate,habitat_coverage,CTmax,CTmin
Formica subintegra,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,forest_open,39.1,3
Formica subintegra,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,forest_open,39.3,3
Formica subintegra,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,forest_open,39,2.9
Formica subintegra,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,forest_open,38.9,3.1
Formica subintegra,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,forest_open,39.2,3.1
Formica subsericea,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,rock,ground,rock,open,41.3,3
Formica subsericea,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,rock,ground,rock,open,41.3,3.1
Formica subsericea,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,rock,ground,rock,open,41.6,2.8
Formica subsericea,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,rock,ground,rock,open,41,2.9
Formica subsericea,Formica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,rock,ground,rock,open,41,3
Lasius alienus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,sand,open,38,1.5
Lasius alienus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,sand,open,38.4,1.3
Lasius alienus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,sand,open,38.5,1.6
Lasius alienus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,sand,open,38,1.5
Lasius alienus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,sand,open,38,1.4
Lasius nearcticus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,soil,open,37,1.3
Lasius nearcticus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,soil,open,37.4,1.4
Lasius nearcticus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,soil,open,36.9,1.5
Lasius nearcticus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,soil,open,37,1.1
Lasius nearcticus,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,soil,open,37,1.1
Lasius neoniger,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,sand,open,38.1,1.2
Lasius neoniger,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,sand,open,37.7,1
Lasius neoniger,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,sand,open,38,1
Lasius neoniger,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,sand,open,38.2,1
Lasius neoniger,Lasius,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground,ground,sand,open,38.1,0.8
Myrmica punctaventris,Myrmica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,litter_soil,ground,soil,open,40.4,2.8
Myrmica punctaventris,Myrmica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,litter_soil,ground,soil,open,40,2.9
Myrmica punctaventris,Myrmica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,litter_soil,ground,soil,open,39.8,3
Myrmica punctaventris,Myrmica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,litter_soil,ground,soil,open,40,3.1
Myrmica punctaventris,Myrmica,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,litter_soil,ground,soil,open,40,3
Prenolepis imparis,Prenolepis,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,open,35.7,-1.8
Prenolepis imparis,Prenolepis,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,open,35.7,-2
Prenolepis imparis,Prenolepis,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,open,35.6,-2
Prenolepis imparis,Prenolepis,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,open,35.6,-2
Prenolepis imparis,Prenolepis,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,soil,ground,soil,open,35.8,-2
Stenamma sp.,Stenamma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,39,2.4
Stenamma sp.,Stenamma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,39.2,2.5
Stenamma sp.,Stenamma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,39.1,2.6
Stenamma sp.,Stenamma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,39.4,2.6
Stenamma sp.,Stenamma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,39.3,2.5
Tapinoma sessile,Tapinoma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,42.3,2
Tapinoma sessile,Tapinoma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,42.3,2
Tapinoma sessile,Tapinoma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,41.8,2.1
Tapinoma sessile,Tapinoma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,41.8,2
Tapinoma sessile,Tapinoma,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,42,1.8
Temnothorax longispinosus,Temnothorax,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,43.8,4
Temnothorax longispinosus,Temnothorax,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,43.8,4.1
Temnothorax longispinosus,Temnothorax,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,43.5,4
Temnothorax longispinosus,Temnothorax,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,43.2,3.8
Temnothorax longispinosus,Temnothorax,"Harvard Forest, Petersham, MA, USA",MA,42.508422,-72.20786,7.2,July,1 C / 1 min,worker,ground_litter,ground,soil,open,43.5,3.8
